"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-01","0.00","67","39"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-02","0.22","41","29"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-03","0.00","45","30"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-04","0.00","50","25"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-05","0.00","39","22"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-06","0.00","44","23"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-07","0.88","42","35"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-08","0.00","38","18"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-09","0.00","25","11"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-10","0.00","26","11"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-11","0.00","33","12"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-12","0.11","44","18"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-13","0.00","40","27"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-14","0.00","44","25"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-15","0.00","51","26"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-16","0.00","45","24"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-17","0.00","54","27"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-18","0.71","60","33"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-19","0.00","58","35"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-20","0.10","40","28"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-21","0.00","30","15"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-22","0.00","26","10"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-23","0.00","29","11"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-24","0.01","30","23"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-25","0.00","41","27"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-26","0.00","60","33"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-27","0.00","69","32"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-28","0.00","50","30"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-29","0.00","57","31"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-30","0.45","76","41"
"USC00310674","BELHAVEN 1 SE, NC US","1970-01-31","0.21","44","27"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-01","0.00","49","29"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-02","0.13","58","34"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-03",,"61","50"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-04",,"61","21"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-05","0.00","30","20"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-06","0.00","44","25"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-07","0.00","53","31"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-08","0.00","50","28"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-09","0.00","57","32"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-10","0.12","61","43"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-11","0.11","51","36"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-12","0.00","55","33"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-13","0.00","50","31"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-14","0.00","56","29"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-15","0.00","61","33"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-16","0.00","73","42"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-17","0.26","56","37"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-18","0.02","40","33"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-19","0.00","61","35"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-20","0.00","71","30"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-21","0.00","50","24"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-22","0.00","50","26"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-23","0.00","64","35"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-24","0.00","62","30"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-25","0.00","61","39"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-26","0.41","59","19"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-27","0.00","36","20"
"USC00310674","BELHAVEN 1 SE, NC US","1970-02-28","0.00","58","33"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-01","0.00","61","31"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-02","0.01","57","34"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-03","0.38","66","46"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-04","0.00","61","42"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-05","0.05","62","47"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-06","0.34","62","44"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-07","0.00","55","29"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-08","0.00","55","32"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-09","0.00","70","44"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-10","0.00","54","30"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-11","0.00","58","36"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-12","0.00","67","43"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-13","0.67","73","45"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-14","0.05","54","36"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-15","0.00","52","28"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-16","0.10","49","29"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-17","0.00","47","25"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-18","0.00","55","33"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-19","0.23","58","44"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-20","0.13","48","43"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-21","0.22","62","47"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-22","1.14","58","46"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-23","0.03","71","42"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-24","0.00","60","41"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-25","0.00","59","40"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-26","0.00","62","49"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-27","0.01","70","41"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-28","0.00","63","35"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-29","0.07","67","41"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-30","0.03","77","39"
"USC00310674","BELHAVEN 1 SE, NC US","1970-03-31","0.29","45","41"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-01","0.01","55","36"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-02","0.03","68","44"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-03","0.07","75","42"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-04","0.00","65","42"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-05","0.00","71","44"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-06","0.38","56","40"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-07","0.24","63","43"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-08","0.00","58","35"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-09","0.00","71","46"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-10","0.00","82","56"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-11","0.00","72","44"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-12","0.00","66","45"
