"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00310375","GAYLORD BAY, NC US","2010-01-01",,,"0.00","0.0","0.0","47","42",
"USC00310375","GAYLORD BAY, NC US","2010-01-02",,,"0.00","0.0","0.0","55","28",
"USC00310375","GAYLORD BAY, NC US","2010-01-03",,,"0.00","0.0","0.0","42","21",
"USC00310375","GAYLORD BAY, NC US","2010-01-04",,,"0.00","0.0","0.0","33","21","24"
"USC00310375","GAYLORD BAY, NC US","2010-01-05",,,"0.00","0.0","0.0","36","21","23"
"USC00310375","GAYLORD BAY, NC US","2010-01-06",,,"0.00","0.0","0.0","36","23","24"
"USC00310375","GAYLORD BAY, NC US","2010-01-07",,,"0.00","0.0","0.0","40","23","25"
"USC00310375","GAYLORD BAY, NC US","2010-01-08",,,"0.20","0.0","0.0","43","25","39"
"USC00310375","GAYLORD BAY, NC US","2010-01-09",,,"0.00","0.0","0.0","41","24",
"USC00310375","GAYLORD BAY, NC US","2010-01-10",,,"0.00","0.0","0.0","35","24",
"USC00310375","GAYLORD BAY, NC US","2010-01-11",,,"0.00","0.0","0.0","35","19","20"
"USC00310375","GAYLORD BAY, NC US","2010-01-12",,,"0.00","0.0","0.0","44","20","32"
"USC00310375","GAYLORD BAY, NC US","2010-01-13",,,"0.00","0.0","0.0","40","27","28"
"USC00310375","GAYLORD BAY, NC US","2010-01-14",,,"0.00","0.0","0.0","43","27","31"
"USC00310375","GAYLORD BAY, NC US","2010-01-15",,,"0.00","0.0","0.0","51","31","32"
"USC00310375","GAYLORD BAY, NC US","2010-01-16",,,"0.00","0.0","0.0","60","32",
"USC00310375","GAYLORD BAY, NC US","2010-01-17",,,"0.00","0.0","0.0","60","43",
"USC00310375","GAYLORD BAY, NC US","2010-01-18",,,"0.90","0.0","0.0","73","33","46"
"USC00310375","GAYLORD BAY, NC US","2010-01-19",,,"0.00","0.0","0.0","69","33","47"
"USC00310375","GAYLORD BAY, NC US","2010-01-20",,,"0.00","0.0","0.0","65","43","47"
"USC00310375","GAYLORD BAY, NC US","2010-01-21",,,"0.00","0.0","0.0","64","39","40"
"USC00310375","GAYLORD BAY, NC US","2010-01-22",,,"1.44","0.0","0.0","52","40","45"
"USC00310375","GAYLORD BAY, NC US","2010-01-23",,,"0.00","0.0","0.0","52","34",
"USC00310375","GAYLORD BAY, NC US","2010-01-24",,,"0.00","0.0","0.0","47","39",
"USC00310375","GAYLORD BAY, NC US","2010-01-25",,,"1.10","0.0","0.0","66","34","65"
"USC00310375","GAYLORD BAY, NC US","2010-01-26",,,"0.43","0.0","0.0","66","41","42"
"USC00310375","GAYLORD BAY, NC US","2010-01-27",,,"0.00","0.0","0.0","66","34","35"
"USC00310375","GAYLORD BAY, NC US","2010-01-28",,,"0.00","0.0","0.0","49","35","36"
"USC00310375","GAYLORD BAY, NC US","2010-01-29",,,"0.00","0.0","0.0","59","32","32"
"USC00310375","GAYLORD BAY, NC US","2010-01-30",,,"0.00","0.0","0.0","59","27",
"USC00310375","GAYLORD BAY, NC US","2010-01-31",,,"0.00","0.0","0.0","39","20",
"USC00310375","GAYLORD BAY, NC US","2010-02-01",,,"1.30","0.0","0.0","35","20","30"
"USC00310375","GAYLORD BAY, NC US","2010-02-02",,,"0.00","0.0","0.0","44","29","40"
"USC00310375","GAYLORD BAY, NC US","2010-02-03",,,"0.36","0.0","0.0","45","36","38"
"USC00310375","GAYLORD BAY, NC US","2010-02-04",,,"0.00","0.0","0.0",,,
"USC00310375","GAYLORD BAY, NC US","2010-02-05",,,"0.00","0.0","0.0","49","36","39"
"USC00310375","GAYLORD BAY, NC US","2010-02-06",,,"0.00","0.0","0.0","44","37",
"USC00310375","GAYLORD BAY, NC US","2010-02-07",,,"0.00","0.0","0.0","62","26",
"USC00310375","GAYLORD BAY, NC US","2010-02-08",,,"1.91","0.0","0.0","42","26","30"
"USC00310375","GAYLORD BAY, NC US","2010-02-09",,,"0.00","0.0","0.0","45","30","38"
"USC00310375","GAYLORD BAY, NC US","2010-02-10",,,"0.50","0.0","0.0","49","37","38"
"USC00310375","GAYLORD BAY, NC US","2010-02-11",,,"0.00","0.0","0.0","49","32","34"
"USC00310375","GAYLORD BAY, NC US","2010-02-12",,,"0.00","0.0","0.0","47","30","30"
"USC00310375","GAYLORD BAY, NC US","2010-02-13",,,"0.00","0.0","0.0","47","29",
"USC00310375","GAYLORD BAY, NC US","2010-02-14",,,"0.00","0.0","0.0","38","24",
"USC00310375","GAYLORD BAY, NC US","2010-02-15",,,"0.00","0.0","0.0","40","34",
"USC00310375","GAYLORD BAY, NC US","2010-02-16",,,"0.25","0.0","0.0","60","24","31"
"USC00310375","GAYLORD BAY, NC US","2010-02-17",,,"0.00","0.0","0.0","43","27","29"
"USC00310375","GAYLORD BAY, NC US","2010-02-18",,,"0.00","0.0","0.0","43","29","32"
"USC00310375","GAYLORD BAY, NC US","2010-02-19",,,"0.00","0.0","0.0","49","32","37"
"USC00310375","GAYLORD BAY, NC US","2010-02-20",,,"0.00","0.0","0.0","52","33",
"USC00310375","GAYLORD BAY, NC US","2010-02-21",,,"0.00","0.0","0.0","52","36",
"USC00310375","GAYLORD BAY, NC US","2010-02-22",,,"0.00","0.0","0.0","58","33","46"
"USC00310375","GAYLORD BAY, NC US","2010-02-23",,,"0.51","0.0","0.0","66","43","44"
"USC00310375","GAYLORD BAY, NC US","2010-02-24",,,"0.00","0.0","0.0","52","41","42"
"USC00310375","GAYLORD BAY, NC US","2010-02-25",,,"0.30","0.0","0.0","45","35",
"USC00310375","GAYLORD BAY, NC US","2010-02-26",,,"0.00","0.0","0.0","42","30","31"
"USC00310375","GAYLORD BAY, NC US","2010-02-27",,,"0.00","0.0","0.0","47","31",
"USC00310375","GAYLORD BAY, NC US","2010-02-28",,,"0.00","0.0","0.0","51","32",
"USC00310375","GAYLORD BAY, NC US","2010-03-01",,,"0.00","0.0","0.0","51","31","39"
"USC00310375","GAYLORD BAY, NC US","2010-03-02",,,"0.00","0.0","0.0","53","37","38"
"USC00310375","GAYLORD BAY, NC US","2010-03-03",,,"1.50","0.0","0.0","45","33","36"
"USC00310375","GAYLORD BAY, NC US","2010-03-04",,,"0.07","0.0","0.0","41","36","41"
"USC00310375","GAYLORD BAY, NC US","2010-03-05",,,"0.00","0.0","0.0","51","34","36"
"USC00310375","GAYLORD BAY, NC US","2010-03-06",,,"0.00","0.0","0.0","51","36",
"USC00310375","GAYLORD BAY, NC US","2010-03-07",,,"0.00","0.0","0.0","52","32",
"USC00310375","GAYLORD BAY, NC US","2010-03-08",,,"0.00","0.0","0.0","58","32","41"
"USC00310375","GAYLORD BAY, NC US","2010-03-09",,,"0.00","0.0","0.0","62","39","48"
"USC00310375","GAYLORD BAY, NC US","2010-03-10",,,"0.00","0.0","0.0","66","48","56"
"USC00310375","GAYLORD BAY, NC US","2010-03-11",,,"0.00","0.0","0.0","72","54","54"
"USC00310375","GAYLORD BAY, NC US","2010-03-12",,,"0.31","0.0","0.0","61","53","56"
"USC00310375","GAYLORD BAY, NC US","2010-03-13",,,"0.00","0.0","0.0","61","55",
"USC00310375","GAYLORD BAY, NC US","2010-03-14",,,"0.00","0.0","0.0","68","47",
"USC00310375","GAYLORD BAY, NC US","2010-03-15",,,"0.47","0.0","0.0","68","46","46"
